nta2020,median_gross_rent_usd
BK0101,2526.0
BK0102,2657.0
BK0103,1454.5
BK0104,2337.0
BK0201,2696.0
BK0202,3245.0
BK0203,2527.0
BK0204,2528.0
BK0261,
BK0301,2117.0
BK0302,1748.0
BK0401,2197.0
BK0402,1959.0
BK0471,1715.0
BK0501,1751.0
BK0502,1589.0
BK0503,1456.5
BK0504,937.5
BK0505,1576.0
BK0571,
BK0601,2692.0
BK0602,2808.0
BK0701,2463.5
BK0702,1737.5
BK0703,1756.0
BK0771,
BK0801,2624.0
BK0802,1738.0
BK0891,
BK0901,1703.0
BK0902,1669.0
BK1001,1801.0
BK1002,1779.0
BK1061,3501.0
BK1091,
BK1101,1628.5
BK1102,1747.0
BK1103,1625.0
BK1201,1571.5
BK1202,1687.0
BK1203,1833.5
BK1204,1828.0
BK1301,1669.0
BK1302,1072.5
BK1303,1600.0
BK1391,
BK1401,1680.0
BK1402,1709.0
BK1403,1710.0
BK1501,1618.0
BK1502,1680.0
BK1503,1715.0
BK1601,1364.5
BK1602,1180.5
BK1701,1633.0
BK1702,1665.0
BK1703,1592.0
BK1704,1493.0
BK1771,1295.0
BK1801,1702.0
BK1802,1893.0
BK1803,1769.0
BK1891,1958.0
BK1892,
BK1893,
BK5591,
BK5691,
BK5692,
BK5693,
BX0101,918.0
BX0102,1178.0
BX0201,1166.0
BX0202,1201.0
BX0291,
BX0301,1237.0
BX0302,1152.5
BX0303,1329.0
BX0391,
BX0401,1403.0
BX0402,1225.0
BX0403,1437.5
BX0491,
BX0492,
BX0501,1327.0
BX0502,1454.0
BX0503,1566.0
BX0601,1334.0
BX0602,1263.0
BX0603,1399.0
BX0701,1502.0
BX0702,1587.0
BX0703,1540.0
BX0801,1459.0
BX0802,1605.5
BX0803,1835.0
BX0901,1436.0
BX0902,1360.0
BX0903,1521.0
BX0904,1645.0
BX0991,
BX1001,1474.0
BX1002,1834.0
BX1003,1772.0
BX1004,
BX1071,
BX1091,
BX1101,1677.0
BX1102,1681.0
BX1103,1915.0
BX1104,1514.0
BX1161,
BX1201,1586.0
BX1202,1753.5
BX1203,1643.5
BX1271,
BX2691,
BX2791,
BX2891,1589.0
MN0101,3434.0
MN0102,3501.0
MN0191,
MN0201,2767.0
MN0202,2719.0
MN0203,2814.0
MN0301,1260.0
MN0302,1207.0
MN0303,2145.5
MN0401,2854.5
MN0402,2394.0
MN0501,3280.0
MN0502,2989.0
MN0601,
MN0602,2953.5
MN0603,3094.0
MN0604,2874.0
MN0661,
MN0701,2944.0
MN0702,2550.0
MN0703,2013.0
MN0801,2823.0
MN0802,2699.5
MN0803,2496.0
MN0901,2163.0
MN0902,1483.0
MN0903,1855.0
MN1001,1592.0
MN1002,1443.0
MN1101,1347.0
MN1102,1048.0
MN1191,841.0
MN1201,1546.5
MN1202,1679.0
MN1203,1641.5
MN1291,
MN1292,
MN6491,
QN0101,2117.0
QN0102,2196.5
QN0103,2104.0
QN0104,1996.0
QN0105,1781.0
QN0151,
QN0161,
QN0171,
QN0191,
QN0201,
QN0202,1908.0
QN0203,1806.0
QN0261,
QN0271,
QN0301,1835.5
QN0302,1892.5
QN0303,2099.0
QN0401,1891.0
QN0402,1850.0
QN0501,2010.5
QN0502,1866.5
QN0503,1929.0
QN0504,1964.0
QN0571,
QN0572,
QN0573,
QN0574,
QN0601,2002.0
QN0602,2083.0
QN0701,1899.0
QN0702,2185.0
QN0703,2293.5
QN0704,1838.5
QN0705,1721.0
QN0706,1885.0
QN0707,1638.5
QN0761,2508.0
QN0791,
QN0801,1875.0
QN0802,1751.0
QN0803,2119.0
QN0804,2015.0
QN0805,1990.5
QN0871,
QN0891,
QN0901,1854.5
QN0902,1797.0
QN0903,1894.0
QN0904,1810.5
QN0905,1809.0
QN1001,1900.5
QN1002,1850.5
QN1003,1894.0
QN1091,
QN1101,2052.5
QN1102,2561.5
QN1103,2332.0
QN1104,2179.0
QN1191,
QN1201,1720.0
QN1202,1748.0
QN1203,1875.0
QN1204,1994.0
QN1205,1611.0
QN1206,1677.0
QN1301,2253.5
QN1302,2135.0
QN1303,1725.0
QN1304,1827.0
QN1305,1778.0
QN1306,2194.0
QN1307,1985.0
QN1371,
QN1401,1669.5
QN1402,1419.0
QN1403,1708.5
QN1491,
QN8081,
QN8191,
QN8291,
QN8381,
QN8491,
QN8492,
SI0101,1709.0
SI0102,1799.0
SI0103,1766.0
SI0104,1675.0
SI0105,1775.0
SI0106,1716.0
SI0107,1884.5
SI0191,
SI0201,1200.0
SI0202,1665.0
SI0203,1425.0
SI0204,1758.0
SI0291,
SI0301,1872.0
SI0302,1733.5
SI0303,1963.0
SI0304,1996.5
SI0305,1410.0
SI0391,
SI9561,2474.0
SI9591,
SI9592,
SI9593,
